WP_No,Date_Time,y_Proj,x_Proj,Elevation,Name,BH_Type,Atm Pressure_mmHg,SPC_MScm,Cond_MScm,pH,Temp_0C,Li_ppb,Be_ppb,B_ppb,Na_ppb,Mg_ppb,Al_ppb,P_ppb,K_ppb,Ca_ppb,Sc_ppb,V_ppb,Cr_ppb,Mn_ppb,Fe_ppb,Co_ppb,Ni_ppb,Cu_ppb,Zn_ppb,As_ppb,Se_ppb,Rb_ppb,Sr_ppb,Y_ppb,Mo_ppb,Cd_ppb,Cs_ppb,Ba_ppb,Re_ppb,Tl_ppb,Pb_ppb,Bi_ppb,Th_ppb,U_ppb,Si_ppm,SiO2_ppm,NH4_ppm,NO3N_ppm,Cl_ppm,HCO3_ppm,F_ppm,NO3_ppm,SO4_ppm,PO4_ppm,S_ppm,CaCO3_ppm,NO2_ppm,TDS_ppm
91,2/8/24 15:14,2.30163,35.45461,704.95,Ikoree BH 1,SBH pump,677.7,2229,2504,7.2,32.8,7.01,0.12,65.56,99658.62,9934.24,6.74,158.61,4292.04,17309.52,3.28,14.74,4.35,5.87,115.45,0.11,1.26,4.6,183.93,0.4,1.94,2.39,329.69,0.06,4.85,0.03,1.35,114.59,0.04,0.09,0.44,0.41,0.02,10.55,0,0,0.33,0,102,0,3.04,36.4,123,0.15,0,269,0.08,1377.2
92,2/8/24 16:22,2.29528,35.48987,737.74,Ikoree BH 2,DBH solar,674.6,1318,1409,7,29.5,18,0.32,118.53,83738.6,24748.73,15.13,213.32,7613.61,46997.17,6.33,55.73,4.82,33.34,215.9,0.3,0.42,3.41,543.35,0.66,3.31,5.93,1038.07,0.05,6.62,0.04,4.06,343.89,0.02,0.11,0.65,0.68,0.04,14.72,,,,,,,,,,,,,,774.95
94,2/8/24 17:10,2.32286,35.46822,706.23,Ekiriem Well,OHD well,676.1,335.9,385.9,7.6,27.6,13.2,1.06,87.72,7236.58,7119.15,2321.61,696.19,10629.22,76192.25,3.86,27.79,7.23,324.88,970.01,4.44,5.4,10.47,14.42,0.85,3.15,7.87,536.79,7.27,0.95,0.12,3.81,336.42,0.03,0.13,1.23,1.04,0.16,0.85,0,0,0.01,0,3.09,0,0.12,19.4,6.77,0.25,0,143,0.06,212.25
95,2/8/24 18:12,2.3426,35.48984,724.75,Lomonyang,OHD well,674.7,352.7,374,7.7,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,7.11,,0.15,14.6,11.8,0.19,,90.6,0.04,205.7
96,2/8/24 18:36,2.3272,35.50718,748.37,Nkuja Engol,DBH solar,672.4,704,731,7.2,28,30.01,0.37,125.9,17441.44,28513.65,5.57,195.6,8529.53,73948.25,4.85,3.7,5.32,23.32,634.44,0.24,0.71,2.65,21.13,0.73,3.92,7.03,629.55,0.02,7.77,0.05,4.25,55.79,0.04,0.14,0.52,1.48,0.09,5.38,,,,,,,,,,,,,,402.05
97,2/8/24 19:05,2.32586,35.46462,710.31,Kaagete Ekriem,DBH solar,674.7,1221,1355,7.7,35.9,6.98,0.1,62.08,65093.57,13826.66,4.79,120.51,2652.41,26868.77,1.44,5.87,2.23,3.21,104.86,0.12,0.32,3.84,12.99,0.38,1.67,2.86,487.23,0.02,9.59,0.03,1.55,264.69,0.05,0.12,0.26,0.43,0.01,11.49,,,2.53,,24.8,,2.24,9.43,76.7,0.01,,309,0.03,745.25
99,3/8/24 15:01,2.27634,35.56563,828.2,Kaakipom,DBH solar,666,859,889,7.3,29.6,9.51,0.15,59.45,11280,16222.85,3.19,135.84,4134.86,37918.97,1.38,15.01,2.36,50.95,135.83,0.27,0.29,1.83,28.74,0.47,1.7,2.77,389.54,0.01,1.53,0.04,1.33,193.05,0.04,0.07,0.34,0.96,0.03,1.83,,,,,,,,,,,,,,488.95
100,3/8/24 15:27,2.271,35.53449,785.01,Napusinyei,SBH pump,669.5,694,763,7.4,31.1,26.74,0.39,95.73,26484.38,22729.51,4.57,195.94,7605.99,59645.19,4.7,35.11,5.08,8.84,370.76,0.22,0.48,3.39,47.73,0.86,3.48,5.05,468.22,0.03,2.77,0.06,4.03,135.41,0.04,0.11,0.5,1.16,0.07,2.69,,,,,,,,,,,,,,419.65
105,3/8/24 17:18,2.25816,35.43448,693.25,Kambi Baraka,DBH solar,675.4,3014,3348,7.7,31.8,8.57,0.12,60.35,100951.31,20889.88,6.55,140.68,4338.07,29832.28,2.7,17.5,2.37,1.62,119.62,0.08,0.34,4.82,6.51,0.53,2.22,2.21,693.84,0.01,3.94,0.05,1.23,,0.04,0.11,0.36,0.57,0.02,4.41,,,3.16,,433,,2.56,20.5,360,0.1,,586,0.03,1841.4
106,3/8/24 17:49,2.23014,35.44057,701.52,Nyangaita,DBH solar,674.3,1737,1969,7.5,32.9,22.88,0.34,97.72,142039.57,32214.11,5.14,192,8519.04,53070.43,4.14,24.05,4.72,10.81,229.35,0.19,0.36,5.03,6.59,0.5,4.53,7.18,949.23,0.1,7.72,0.04,4.85,222.26,0.04,0.27,0.44,0.92,0.04,14.37,,,,,,,,,,,,,,1082.95
107,3/8/24 18:28,2.23693,35.48393,738.61,Kaekamto,DBH solar,670.8,1608,1825,7.8,33.1,29.21,0.37,136.94,263594.2,19800.67,4.67,217.37,9549.9,26262.76,4.88,32.42,4.89,2.06,193.92,0.2,0.32,8.76,53.78,0.86,4.08,6.96,438.95,0.07,80.43,0.16,5,9.93,0.06,0.23,0.88,1.33,0.09,24.92,,,,,,,,,,,,,,1003.75
109,5/8/24 15:39,3.05432,35.92184,445.34,Kangite Buso BH,SBH pump,697.4,626,731,8.2,35.7,2.71,0.1,22.91,53326.3,227.66,7.57,206.55,952.87,1311.83,1.91,108.95,2.81,0.93,78.46,0.05,0.08,4.17,13.19,2.46,1.48,1.7,10.49,0.01,0.97,0.02,1.16,22.18,0.02,0.03,0.46,0.3,0.01,1.05,,,0.01,,6.62,,1.57,2.92,9.02,0.61,,5.51,0.03,402.05
111,5/8/24 16:35,3.10103,36.04518,409,Nang'ole Kuruk BH,DBH solar,700.6,317.5,346.2,7.3,31.8,2.28,0.09,22.55,11065.31,2484.78,3.74,126.55,2198.58,11419.75,2.6,8.37,2.64,0.76,84.04,0.07,0.12,2.1,2.1,0.29,1.59,1.67,137.01,0.01,1.19,0.01,1.07,65.5,0.04,0.04,0.14,0.26,0.01,0.54,,,,,,,,,,,,,,190.41
