Element,Threshold,Units,Body
Ag,100,ppb,WHO
Al,100,ppb,KS
As,10,ppb,WHO
B,2400,ppb,WHO
Ba,1000,ppb,KS
Be,,ppb,
Bi,,,
Br,10,ppb,Other
Ca,250000,ppb,KS
CaCO3,500,ppm,KS
Cd,3,ppb,WHO
Cl,250,ppm,KS
Co,,ppb,
Cr,50,ppb,KS
Cs,,,
Cu,100,ppb,KS
Cond,,,
Fe,300,ppb,KS
F,1.5,ppm,KS
HCO3,,ppm,
Hg,1,ppb,KS
K,,ppb,
Li,,ppb,
Mg,100000,ppb,KS
Mn,80,ppb,WHO
Mo,,ppb,
Na,200000,ppb,KS
NH4,0.5,ppm,KS
Ni,70,ppb,WHO
NO2,3,ppm,WHO
NO3,10,ppm,KS
NO3N,11,ppm,WHO
P,1000,ppb,Other
Pb,10,ppb,WHO
pH,8.5,KS,
PO4,1,ppm,Other
Rb,,PPb,
Re,,,
S,,ppm,
Sal,,,
Sb,20,ppb,WHO
Sc,,,
Se,10,ppb,KS
Si,,ppb,
SiO2,,ppb,
SO4,400,ppm,KS
Sr,,ppb,
TDS,1500,ppm,KS
Th,,,
Tl,,ppb,
U,30,ppb,WHO
V,,ppb,
Y,,,
Zn,5000,ppb,KS
